NO,NAMA UNIVERSITAS/INSTITUT,JURUSAN,DAYA TAMPUNG,PASSING GRADE,UKT,,,,
38,UNIVERSITAS SYIAH KUALA,PERENCANAAN WILAYAH DAN KOTA,22,,"Rp500,000","Rp1,000,000","Rp2,025,250","Rp3,500,000","Rp9,000,000"
39,UNIVERSITAS SYIAH KUALA,KEHUTANAN,25,,"Rp500,000","Rp1,000,000","Rp2,525,250","Rp3,500,000","Rp9,000,000"
40,UNIVERSITAS SYIAH KUALA,TEKNIK KOMPUTER,37,,"Rp500,000","Rp1,000,000","Rp2,025,250","Rp3,500,000","Rp10,000,000"
41,UNIVERSITAS SYIAH KUALA,EKONOMI PEMBANGUNAN,73,33.80%,"Rp500,000","Rp1,000,000","Rp2,069,000","Rp3,500,000","Rp8,000,000"
42,UNIVERSITAS SYIAH KUALA,MANAJEMEN,60,38.50%,"Rp500,000","Rp1,000,000","Rp2,069,000","Rp3,500,000","Rp6,000,000"
43,UNIVERSITAS SYIAH KUALA,AKUNTANSI,62,40.20%,"Rp500,000","Rp1,000,000","Rp2,069,000","Rp3,500,000","Rp8,000,000"
44,UNIVERSITAS SYIAH KUALA,ILMU HUKUM,161,37.30%,"Rp500,000","Rp1,000,000","Rp2,025,250","Rp3,500,000","Rp6,000,000"
45,UNIVERSITAS SYIAH KUALA,PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,32,21.20%,"Rp500,000","Rp1,000,000","Rp2,087,550","Rp3,500,000","Rp6,000,000"
46,UNIVERSITAS SYIAH KUALA,PENDIDIKAN SEJARAH,35,27.40%,"Rp500,000","Rp1,000,000","Rp2,087,550","Rp3,500,000","Rp6,000,000"
47,UNIVERSITAS SYIAH KUALA,PENDIDIKAN EKONOMI,38,25.10%,"Rp500,000","Rp1,000,000","Rp2,087,550","Rp3,500,000","Rp6,000,000"
48,UNIVERSITAS SYIAH KUALA,PENDIDIKAN GEOGRAFI,31,25.30%,"Rp500,000","Rp1,000,000","Rp2,087,550","Rp3,500,000","Rp6,000,000"
49,UNIVERSITAS SYIAH KUALA,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,37,30.60%,"Rp500,000","Rp1,000,000","Rp2,087,550","Rp3,500,000","Rp6,000,000"
